complaint_id,citizen_id,department,region,category,severity,status,complaint_date,resolution_date,resolution_days,description,citizen_rating,mode_of_complaint,assigned_officer
GRV00359,CIT73390,Health Services,New Township,Road Construction Delay,Medium,Resolved,2024-02-12,2024-03-24,41.0,Urgent complaint about our affecting citizens,4,Phone,Officer_400
GRV00360,CIT51383,Water Supply,New Township,Garbage Collection,Medium,Resolved,2023-03-28,2023-04-16,19.0,No sanitation vehicle visiting our locality since 13,3,Mobile App,Officer_247
GRV00361,CIT85197,Roads & Infrastructure,Industrial Area,Noise Pollution,Critical,Resolved,2023-12-26,2023-12-30,4.0,No action taken on Industrial Area complaint since Industrial Area days,2,Mobile App,Officer_235
GRV00362,CIT25712,Municipal Sanitation,Central Zone,Hospital Service,High,In Progress,2022-08-07,,,Serious issue regarding this in our locality,,Email,Officer_103
GRV00363,CIT33969,Housing Authority,North District,Delayed Response,Medium,Resolved,2023-07-17,2023-08-22,36.0,No action taken on North District complaint since North District days,1,Email,Officer_316
GRV00364,CIT69925,Education Department,New Township,Road Damage,Medium,Pending,2022-12-24,,,Pothole on main road causing accidents near this,,Walk-in,Officer_452
GRV00365,CIT81901,Water Supply,Central Zone,Hospital Service,Low,Resolved,2023-06-16,2023-07-19,33.0,No action taken on our complaint since our days,3,Mobile App,Officer_355
GRV00366,CIT46651,Revenue Department,West District,Corruption,Medium,In Progress,2024-03-31,,,Repeated complaint about West District in West District area still unresolved,,Online Portal,Officer_469
GRV00367,CIT71995,Health Services,West District,Water Quality,Medium,Resolved,2022-10-26,2022-11-09,14.0,Serious issue regarding this in our locality,4,Mobile App,Officer_422
GRV00368,CIT62219,Housing Authority,New Township,Noise Pollution,Medium,In Progress,2022-04-08,,,Serious issue regarding New Township in our locality,,Online Portal,Officer_210
GRV00369,CIT83446,Health Services,Old City,Garbage Collection,Medium,Resolved,2024-01-10,2024-02-07,28.0,Garbage dumped on road since 13 week near 15,3,Email,Officer_201
GRV00370,CIT98236,Police Department,Riverside Block,Water Quality,High,Resolved,2023-12-29,2024-01-11,13.0,Repeated complaint about this in 30 area still unresolved,4,Email,Officer_246
GRV00371,CIT92742,Education Department,Hill Station,Street Light Failure,High,Closed,2023-11-22,2023-12-08,16.0,Repeated complaint about 29 in Hill Station area still unresolved,3,Mobile App,Officer_260
GRV00372,CIT45553,Public Transport,Hill Station,School Facilities,High,In Progress,2024-03-20,,,Repeated complaint about our in this area still unresolved,,Phone,Officer_185
GRV00373,CIT37600,Electricity Board,North District,Street Light Failure,High,In Progress,2022-06-13,,,Urgent complaint about 14 affecting citizens,,Online Portal,Officer_132
GRV00374,CIT44400,Education Department,New Township,Road Damage,Medium,Resolved,2022-06-20,2022-07-01,11.0,Road completely damaged after rains near this,3,Mobile App,Officer_226
GRV00375,CIT13744,Environment Department,Central Zone,Poor Service,Low,Pending,2022-12-16,,,Serious issue regarding our in our locality,,Walk-in,Officer_343
GRV00376,CIT87441,Education Department,New Township,Property Tax,Low,Pending,2022-12-29,,,Repeated complaint about this in our area still unresolved,,Walk-in,Officer_346
GRV00377,CIT49789,Housing Authority,West District,Power Outage,Medium,Resolved,2023-06-17,2023-07-01,14.0,No electricity for West District hours continuously,3,Walk-in,Officer_340
GRV00378,CIT48393,Housing Authority,North District,Delayed Response,Medium,Closed,2022-01-19,2022-02-20,32.0,Urgent complaint about 27 affecting citizens,5,Walk-in,Officer_196
GRV00379,CIT38913,Revenue Department,New Township,Corruption,Low,Resolved,2024-03-09,2024-05-06,58.0,No action taken on this complaint since New Township days,5,Email,Officer_455
GRV00380,CIT64120,Fire Services,Central Zone,School Facilities,Medium,Pending,2023-07-05,,,Urgent complaint about 29 affecting citizens,,Mobile App,Officer_169
GRV00381,CIT34613,Health Services,South District,Poor Service,Medium,Pending,2024-10-04,,,No action taken on South District complaint since 3 days,,Mobile App,Officer_152
GRV00382,CIT21822,Health Services,Central Zone,Street Light Failure,High,In Progress,2023-04-22,,,Urgent complaint about this affecting citizens,,Mobile App,Officer_275
GRV00383,CIT53286,Revenue Department,Central Zone,Delayed Response,Medium,Reopened,2022-03-06,,,Serious issue regarding Central Zone in our locality,,Online Portal,Officer_236
GRV00384,CIT60014,Revenue Department,South District,Water Quality,Low,Pending,2023-05-28,,,Serious issue regarding South District in our locality,,Phone,Officer_494
GRV00385,CIT97294,Education Department,West District,Road Damage,High,Resolved,2022-07-12,2022-07-31,19.0,Road completely damaged after rains near this,3,Walk-in,Officer_181
GRV00386,CIT43202,Fire Services,Coastal Ward,Road Damage,Medium,In Progress,2022-09-08,,,Broken road surface causing vehicle damage in our,,Mobile App,Officer_284
GRV00387,CIT31936,Water Supply,Central Zone,Hospital Service,Medium,Reopened,2022-01-31,,,No action taken on 20 complaint since Central Zone days,,Online Portal,Officer_121
GRV00388,CIT42600,Police Department,Coastal Ward,Delayed Response,Low,Pending,2022-07-03,,,Urgent complaint about 17 affecting citizens,,Email,Officer_273
GRV00389,CIT73942,Fire Services,North District,Road Damage,Low,Resolved,2022-08-08,2022-09-03,26.0,Road completely damaged after rains near our,4,Mobile App,Officer_110
GRV00390,CIT73609,Environment Department,Suburban Area,Air Pollution,Medium,In Progress,2022-03-22,,,Repeated complaint about our in this area still unresolved,,Mobile App,Officer_390
GRV00391,CIT79617,Electricity Board,New Township,Air Pollution,Medium,Resolved,2022-11-25,2022-12-04,9.0,Urgent complaint about our affecting citizens,3,Email,Officer_287
GRV00392,CIT57720,Education Department,North District,Documentation Issue,Low,Resolved,2022-02-08,2022-05-08,89.0,Urgent complaint about 12 affecting citizens,5,Phone,Officer_197
GRV00393,CIT52283,Housing Authority,Hill Station,Delayed Response,Low,In Progress,2023-08-03,,,Repeated complaint about our in 5 area still unresolved,,Email,Officer_437
GRV00394,CIT14170,Roads & Infrastructure,North District,Street Light Failure,Low,Resolved,2023-01-28,2023-02-19,22.0,Repeated complaint about this in our area still unresolved,1,Walk-in,Officer_213
GRV00395,CIT71349,Police Department,Coastal Ward,Power Outage,Critical,Resolved,2024-10-03,2024-10-05,2.0,No electricity for this hours continuously,3,Online Portal,Officer_415
GRV00396,CIT38298,Health Services,New Township,Road Damage,High,In Progress,2022-06-09,,,Pothole on main road causing accidents near New Township,,Email,Officer_297
GRV00397,CIT23829,Municipal Sanitation,Coastal Ward,Documentation Issue,Medium,Pending,2024-04-30,,,No action taken on this complaint since this days,,Online Portal,Officer_185
GRV00398,CIT88632,Electricity Board,New Township,Encroachment,High,Pending,2024-12-29,,,Repeated complaint about our in our area still unresolved,,Walk-in,Officer_311
GRV00399,CIT59160,Fire Services,Suburban Area,Noise Pollution,Medium,Pending,2023-03-15,,,No action taken on this complaint since this days,,Online Portal,Officer_471
GRV00400,CIT39083,Water Supply,Hill Station,Sewage Overflow,Low,Resolved,2022-01-14,2022-03-03,48.0,Urgent complaint about our affecting citizens,1,Walk-in,Officer_383
GRV00401,CIT56616,Housing Authority,New Township,Road Construction Delay,Low,Closed,2022-03-19,2022-05-26,68.0,Urgent complaint about our affecting citizens,3,Email,Officer_227
GRV00402,CIT73246,Municipal Sanitation,Hill Station,School Facilities,Medium,Resolved,2022-06-08,2022-07-03,25.0,Urgent complaint about 17 affecting citizens,5,Walk-in,Officer_119
GRV00403,CIT66925,Environment Department,Riverside Block,Encroachment,Low,Resolved,2023-11-16,2024-01-09,54.0,Repeated complaint about 29 in Riverside Block area still unresolved,5,Online Portal,Officer_424
GRV00404,CIT75850,Fire Services,Suburban Area,Road Damage,Low,Resolved,2022-11-03,2022-12-24,51.0,Road completely damaged after rains near 6,4,Phone,Officer_485
GRV00405,CIT27326,Police Department,Riverside Block,Documentation Issue,Medium,Resolved,2024-03-18,2024-04-01,14.0,No action taken on this complaint since 20 days,5,Phone,Officer_234
GRV00406,CIT35966,Roads & Infrastructure,Old City,Documentation Issue,High,Resolved,2024-09-11,2024-10-01,20.0,Repeated complaint about Old City in Old City area still unresolved,2,Online Portal,Officer_236
GRV00407,CIT55653,Revenue Department,Industrial Area,Road Construction Delay,High,Resolved,2024-05-17,2024-05-31,14.0,Urgent complaint about our affecting citizens,5,Online Portal,Officer_494
GRV00408,CIT91681,Health Services,East District,Air Pollution,Critical,Pending,2024-06-24,,,Urgent complaint about 16 affecting citizens,,Mobile App,Officer_202
GRV00409,CIT17148,Fire Services,Industrial Area,Street Light Failure,High,In Progress,2022-08-19,,,Urgent complaint about Industrial Area affecting citizens,,Walk-in,Officer_107
GRV00410,CIT80517,Public Transport,Coastal Ward,Garbage Collection,Medium,Resolved,2023-11-11,2023-11-29,18.0,Overflowing dustbin near our area not cleaned,5,Phone,Officer_418
GRV00411,CIT43483,Environment Department,East District,Water Shortage,Critical,Resolved,2024-12-14,2024-12-15,1.0,Water pipeline broken causing shortage since our,2,Email,Officer_238
GRV00412,CIT12500,Water Supply,Old City,Water Shortage,High,Resolved,2024-01-08,2024-01-14,6.0,Irregular water supply affecting this households,2,Phone,Officer_360
GRV00413,CIT34434,Environment Department,South District,Noise Pollution,Medium,Pending,2022-06-30,,,Urgent complaint about this affecting citizens,,Email,Officer_464
GRV00414,CIT55453,Water Supply,Industrial Area,Bus Route Issue,Medium,Closed,2022-11-18,2022-11-24,6.0,No action taken on our complaint since our days,1,Walk-in,Officer_298
GRV00415,CIT60096,Water Supply,Central Zone,Property Tax,Medium,Resolved,2022-10-09,2022-10-19,10.0,Urgent complaint about Central Zone affecting citizens,5,Mobile App,Officer_318
GRV00416,CIT80956,Health Services,Riverside Block,Noise Pollution,Low,Resolved,2022-10-11,2023-01-03,84.0,Urgent complaint about Riverside Block affecting citizens,3,Email,Officer_169
GRV00417,CIT34134,Revenue Department,East District,Road Construction Delay,Medium,Closed,2024-12-27,2025-01-08,12.0,No action taken on East District complaint since 25 days,3,Phone,Officer_310
GRV00418,CIT13433,Health Services,Old City,Property Tax,Low,Resolved,2022-09-27,2022-10-30,33.0,No action taken on Old City complaint since Old City days,2,Online Portal,Officer_283
GRV00419,CIT60785,Roads & Infrastructure,Industrial Area,Delayed Response,High,Resolved,2024-02-05,2024-02-13,8.0,Repeated complaint about Industrial Area in Industrial Area area still unresolved,2,Online Portal,Officer_309
GRV00420,CIT33209,Water Supply,South District,Corruption,High,Resolved,2023-02-23,2023-02-28,5.0,Repeated complaint about this in our area still unresolved,4,Mobile App,Officer_318
GRV00421,CIT61662,Revenue Department,North District,Sewage Overflow,Medium,In Progress,2023-10-03,,,Serious issue regarding 18 in our locality,,Phone,Officer_333
GRV00422,CIT77649,Water Supply,North District,Documentation Issue,Critical,Pending,2024-03-04,,,Serious issue regarding our in our locality,,Phone,Officer_303
GRV00423,CIT28643,Health Services,Central Zone,Poor Service,Medium,Resolved,2022-04-22,2022-05-30,38.0,Repeated complaint about this in 4 area still unresolved,2,Email,Officer_456
GRV00424,CIT87373,Housing Authority,East District,Encroachment,Medium,Resolved,2023-01-02,2023-02-05,34.0,Urgent complaint about this affecting citizens,1,Walk-in,Officer_265
GRV00425,CIT68903,Environment Department,Hill Station,Drainage Issue,Low,In Progress,2022-08-22,,,Drainage pipe broken for this weeks,,Email,Officer_413
GRV00426,CIT96445,Electricity Board,Suburban Area,Water Quality,High,Resolved,2023-11-18,2023-12-09,21.0,Urgent complaint about Suburban Area affecting citizens,2,Online Portal,Officer_314
GRV00427,CIT10463,Health Services,Central Zone,Poor Service,Low,Resolved,2022-09-27,2022-11-01,35.0,No action taken on this complaint since this days,5,Online Portal,Officer_411
GRV00428,CIT67917,Education Department,West District,Hospital Service,Medium,Pending,2024-04-19,,,Serious issue regarding 21 in our locality,,Mobile App,Officer_380
GRV00429,CIT29432,Health Services,Riverside Block,Water Quality,Medium,In Progress,2023-01-14,,,Serious issue regarding our in our locality,,Online Portal,Officer_174
GRV00430,CIT24272,Water Supply,Hill Station,Road Construction Delay,Medium,In Progress,2022-04-11,,,Repeated complaint about Hill Station in our area still unresolved,,Email,Officer_438
GRV00431,CIT85886,Environment Department,Coastal Ward,Sewage Overflow,Medium,Pending,2024-07-21,,,No action taken on 3 complaint since our days,,Walk-in,Officer_288
GRV00432,CIT27635,Revenue Department,South District,Corruption,Low,In Progress,2024-08-22,,,Serious issue regarding our in our locality,,Walk-in,Officer_369
GRV00433,CIT84890,Revenue Department,New Township,Hospital Service,High,Pending,2022-08-12,,,Serious issue regarding our in our locality,,Phone,Officer_411
GRV00434,CIT90516,Public Transport,Central Zone,Documentation Issue,High,Pending,2022-09-23,,,Repeated complaint about this in Central Zone area still unresolved,,Email,Officer_219
GRV00435,CIT90649,Environment Department,Central Zone,Hospital Service,Low,Resolved,2022-08-30,2022-10-05,36.0,Repeated complaint about 15 in our area still unresolved,5,Mobile App,Officer_105
GRV00436,CIT82088,Fire Services,West District,School Facilities,Low,Resolved,2023-09-07,2023-11-20,74.0,No action taken on 26 complaint since our days,3,Phone,Officer_470
GRV00437,CIT98142,Police Department,Riverside Block,Water Shortage,Low,In Progress,2023-11-24,,,Contaminated water supply reported in 17 locality,,Mobile App,Officer_346
GRV00438,CIT64257,Electricity Board,Hill Station,Poor Service,Medium,Closed,2023-11-18,2023-12-22,34.0,Serious issue regarding our in our locality,5,Walk-in,Officer_384
GRV00439,CIT18678,Housing Authority,North District,Hospital Service,Medium,Pending,2023-12-26,,,Urgent complaint about 10 affecting citizens,,Walk-in,Officer_292
GRV00440,CIT50407,Fire Services,New Township,Drainage Issue,Medium,Pending,2022-08-28,,,Drainage pipe broken for 24 weeks,,Walk-in,Officer_311
GRV00441,CIT32939,Roads & Infrastructure,West District,Bus Route Issue,High,Resolved,2024-12-11,2024-12-23,12.0,Serious issue regarding 13 in our locality,2,Online Portal,Officer_327
GRV00442,CIT78632,Housing Authority,North District,Delayed Response,Low,Closed,2023-11-28,2024-02-07,71.0,No action taken on our complaint since 6 days,5,Mobile App,Officer_205
GRV00443,CIT50760,Environment Department,North District,Poor Service,High,Resolved,2022-08-26,2022-08-29,3.0,Serious issue regarding 23 in our locality,3,Phone,Officer_123
GRV00444,CIT36287,Roads & Infrastructure,Old City,School Facilities,High,Resolved,2023-03-06,2023-03-19,13.0,Urgent complaint about our affecting citizens,5,Walk-in,Officer_495
GRV00445,CIT91650,Education Department,Hill Station,Garbage Collection,Low,Resolved,2022-08-23,2022-09-03,11.0,Garbage not collected for our days,5,Walk-in,Officer_238
GRV00446,CIT90381,Electricity Board,Coastal Ward,School Facilities,Low,Pending,2023-09-30,,,No action taken on this complaint since Coastal Ward days,,Online Portal,Officer_341
GRV00447,CIT88134,Fire Services,North District,Garbage Collection,Low,Resolved,2024-03-13,2024-04-14,32.0,No sanitation vehicle visiting our locality since our,3,Walk-in,Officer_201
GRV00448,CIT27274,Environment Department,Hill Station,Water Quality,Critical,Resolved,2024-08-11,2024-08-21,10.0,Serious issue regarding this in our locality,1,Phone,Officer_258
GRV00449,CIT90863,Fire Services,Hill Station,Poor Service,Critical,Pending,2022-10-22,,,No action taken on this complaint since our days,,Walk-in,Officer_332
GRV00450,CIT32387,Education Department,North District,Power Outage,Medium,Pending,2024-08-02,,,Transformer damaged causing outage in our area,,Email,Officer_394
GRV00451,CIT82895,Electricity Board,New Township,Garbage Collection,High,Resolved,2022-08-08,2022-08-21,13.0,Garbage not collected for our days,5,Phone,Officer_305
GRV00452,CIT60307,Police Department,Suburban Area,Bus Route Issue,Medium,Pending,2024-09-14,,,Serious issue regarding Suburban Area in our locality,,Email,Officer_320
GRV00453,CIT85260,Revenue Department,Riverside Block,Noise Pollution,Medium,Pending,2022-06-09,,,Repeated complaint about this in 12 area still unresolved,,Phone,Officer_190
GRV00454,CIT52914,Health Services,Suburban Area,Power Outage,High,Pending,2024-02-16,,,Power fluctuation damaging home appliances in 22,,Online Portal,Officer_211
GRV00455,CIT79632,Electricity Board,Riverside Block,Water Shortage,High,In Progress,2024-07-16,,,Irregular water supply affecting this households,,Mobile App,Officer_205
GRV00456,CIT66980,Fire Services,Industrial Area,School Facilities,Critical,Pending,2023-09-16,,,No action taken on 4 complaint since this days,,Mobile App,Officer_250
GRV00457,CIT24378,Water Supply,Suburban Area,Water Quality,Low,Reopened,2024-01-06,,,No action taken on 29 complaint since this days,,Email,Officer_301
GRV00458,CIT72242,Fire Services,Industrial Area,Encroachment,Medium,Resolved,2023-03-09,2023-03-25,16.0,Urgent complaint about this affecting citizens,3,Phone,Officer_178
GRV00459,CIT73792,Health Services,Hill Station,Street Light Failure,Low,Resolved,2022-02-02,2022-03-02,28.0,Repeated complaint about 6 in this area still unresolved,4,Email,Officer_317
GRV00460,CIT60425,Police Department,East District,Poor Service,Medium,Pending,2024-07-10,,,No action taken on East District complaint since 15 days,,Email,Officer_355
GRV00461,CIT14963,Environment Department,West District,Documentation Issue,Critical,Resolved,2024-01-22,2024-01-23,1.0,Repeated complaint about our in this area still unresolved,1,Mobile App,Officer_473
GRV00462,CIT42142,Environment Department,New Township,Property Tax,Low,Pending,2022-07-01,,,Repeated complaint about 22 in our area still unresolved,,Email,Officer_127
GRV00463,CIT85230,Public Transport,New Township,Water Shortage,Medium,Pending,2024-08-18,,,Irregular water supply affecting our households,,Walk-in,Officer_248
GRV00464,CIT18050,Electricity Board,North District,Sewage Overflow,High,In Progress,2023-06-18,,,Repeated complaint about North District in 20 area still unresolved,,Walk-in,Officer_477
GRV00465,CIT46418,Police Department,North District,School Facilities,Low,Pending,2022-06-07,,,No action taken on our complaint since our days,,Online Portal,Officer_479
GRV00466,CIT44242,Roads & Infrastructure,Old City,Drainage Issue,High,Closed,2024-01-28,2024-02-05,8.0,Sewage overflow on main road near Old City,5,Online Portal,Officer_275
GRV00467,CIT41188,Roads & Infrastructure,Industrial Area,Sewage Overflow,Low,Closed,2024-04-25,2024-06-23,59.0,Repeated complaint about Industrial Area in our area still unresolved,1,Walk-in,Officer_486
GRV00468,CIT40626,Roads & Infrastructure,Industrial Area,Drainage Issue,Medium,Pending,2024-12-26,,,Stagnant water breeding mosquitoes near this,,Phone,Officer_234
GRV00469,CIT98931,Electricity Board,New Township,Corruption,Critical,Resolved,2024-07-08,2024-07-15,7.0,No action taken on 18 complaint since our days,4,Email,Officer_433
GRV00470,CIT98511,Health Services,Industrial Area,Property Tax,Low,Resolved,2024-03-12,2024-05-20,69.0,Urgent complaint about Industrial Area affecting citizens,5,Walk-in,Officer_446
GRV00471,CIT11567,Environment Department,East District,Noise Pollution,High,Pending,2022-05-20,,,Repeated complaint about 5 in this area still unresolved,,Walk-in,Officer_212
GRV00472,CIT87874,Environment Department,Central Zone,Property Tax,Low,Resolved,2022-07-08,2022-07-25,17.0,Urgent complaint about 21 affecting citizens,1,Online Portal,Officer_409
GRV00473,CIT34151,Electricity Board,Suburban Area,Road Construction Delay,Low,In Progress,2022-08-16,,,No action taken on this complaint since 23 days,,Phone,Officer_241
GRV00474,CIT60174,Revenue Department,Coastal Ward,Noise Pollution,High,Resolved,2023-07-22,2023-07-26,4.0,Repeated complaint about 12 in our area still unresolved,2,Phone,Officer_135
GRV00475,CIT80861,Education Department,West District,Sewage Overflow,High,Resolved,2022-08-11,2022-08-18,7.0,Repeated complaint about 8 in our area still unresolved,1,Online Portal,Officer_137
GRV00476,CIT14959,Roads & Infrastructure,Industrial Area,Property Tax,Low,In Progress,2022-01-02,,,Repeated complaint about Industrial Area in our area still unresolved,,Phone,Officer_394
GRV00477,CIT80795,Water Supply,Old City,Delayed Response,Medium,Pending,2022-05-24,,,Urgent complaint about this affecting citizens,,Phone,Officer_162
GRV00478,CIT94813,Police Department,New Township,Air Pollution,Medium,Resolved,2022-04-24,2022-06-08,45.0,Serious issue regarding our in our locality,1,Phone,Officer_489
GRV00479,CIT49173,Health Services,Hill Station,Hospital Service,Low,Resolved,2024-02-26,2024-03-31,34.0,Repeated complaint about 30 in our area still unresolved,4,Online Portal,Officer_423
GRV00480,CIT60956,Education Department,Coastal Ward,Hospital Service,Low,Resolved,2023-05-04,2023-07-15,72.0,Serious issue regarding our in our locality,4,Email,Officer_330
GRV00481,CIT95701,Water Supply,North District,Noise Pollution,High,Resolved,2022-08-31,2022-09-09,9.0,Repeated complaint about North District in North District area still unresolved,1,Online Portal,Officer_476
GRV00482,CIT41808,Electricity Board,Old City,Water Shortage,Critical,Pending,2022-04-04,,,Water pipeline broken causing shortage since Old City,,Online Portal,Officer_257
GRV00483,CIT75161,Roads & Infrastructure,New Township,Sewage Overflow,Medium,Resolved,2022-08-06,2022-08-18,12.0,Urgent complaint about New Township affecting citizens,4,Walk-in,Officer_477
GRV00484,CIT37948,Fire Services,Suburban Area,Noise Pollution,High,Resolved,2022-10-09,2022-10-22,13.0,Serious issue regarding Suburban Area in our locality,3,Online Portal,Officer_161
GRV00485,CIT41934,Health Services,East District,Corruption,Medium,Resolved,2022-12-04,2023-01-06,33.0,Serious issue regarding 6 in our locality,5,Phone,Officer_498
GRV00486,CIT47189,Electricity Board,North District,Delayed Response,Low,Resolved,2022-07-02,2022-09-25,85.0,Repeated complaint about this in North District area still unresolved,2,Mobile App,Officer_427
GRV00487,CIT33593,Health Services,New Township,Poor Service,Critical,Resolved,2022-03-19,2022-03-29,10.0,Repeated complaint about 21 in our area still unresolved,3,Phone,Officer_102
GRV00488,CIT57435,Housing Authority,West District,Hospital Service,Medium,Resolved,2022-07-15,2022-08-28,44.0,Urgent complaint about West District affecting citizens,3,Online Portal,Officer_199
GRV00489,CIT94523,Roads & Infrastructure,Hill Station,Delayed Response,Low,Pending,2022-04-21,,,No action taken on Hill Station complaint since our days,,Walk-in,Officer_415
GRV00490,CIT30715,Education Department,North District,Garbage Collection,Critical,In Progress,2022-12-27,,,Garbage not collected for 17 days,,Online Portal,Officer_220
GRV00491,CIT40154,Environment Department,Old City,Road Construction Delay,Medium,Pending,2023-10-30,,,Serious issue regarding Old City in our locality,,Online Portal,Officer_221
GRV00492,CIT73492,Environment Department,Suburban Area,Hospital Service,Medium,Resolved,2024-08-22,2024-10-03,42.0,Serious issue regarding this in our locality,2,Mobile App,Officer_412
GRV00493,CIT57001,Education Department,East District,Encroachment,Medium,Resolved,2023-02-02,2023-03-19,45.0,No action taken on our complaint since 6 days,5,Online Portal,Officer_243
GRV00494,CIT38816,Electricity Board,South District,Poor Service,Low,Pending,2023-12-05,,,No action taken on South District complaint since South District days,,Email,Officer_383
GRV00495,CIT46591,Municipal Sanitation,Coastal Ward,Corruption,Medium,Closed,2024-08-27,2024-09-30,34.0,Serious issue regarding this in our locality,2,Mobile App,Officer_267
GRV00496,CIT10665,Revenue Department,Riverside Block,Bus Route Issue,Medium,Closed,2022-11-02,2022-12-13,41.0,Repeated complaint about 3 in 17 area still unresolved,4,Email,Officer_301
GRV00497,CIT63296,Education Department,Coastal Ward,Garbage Collection,Medium,Pending,2022-01-26,,,Overflowing dustbin near our area not cleaned,,Walk-in,Officer_222
GRV00498,CIT84760,Fire Services,South District,Water Shortage,Medium,Pending,2024-07-29,,,No water supply for past this days in our area,,Mobile App,Officer_460
GRV00499,CIT92222,Revenue Department,East District,Air Pollution,High,Pending,2022-01-03,,,Serious issue regarding our in our locality,,Email,Officer_116
GRV00500,CIT99740,Health Services,Suburban Area,Property Tax,High,Pending,2023-03-01,,,Serious issue regarding our in our locality,,Online Portal,Officer_363
GRV00501,CIT58029,Fire Services,Industrial Area,Road Damage,Medium,Resolved,2022-03-25,2022-04-22,28.0,Road completely damaged after rains near 22,5,Mobile App,Officer_170
GRV00502,CIT52003,Public Transport,West District,Water Quality,Medium,Resolved,2023-03-06,2023-03-25,19.0,No action taken on our complaint since this days,3,Online Portal,Officer_132
GRV00503,CIT71625,Public Transport,Industrial Area,Poor Service,Medium,Pending,2022-09-09,,,No action taken on our complaint since 27 days,,Mobile App,Officer_334
GRV00504,CIT46168,Roads & Infrastructure,Coastal Ward,Encroachment,Medium,Closed,2022-08-12,2022-08-27,15.0,Serious issue regarding Coastal Ward in our locality,4,Mobile App,Officer_204
GRV00505,CIT55442,Housing Authority,Hill Station,Water Shortage,Critical,Resolved,2022-09-28,2022-10-06,8.0,Contaminated water supply reported in 16 locality,3,Mobile App,Officer_132
GRV00506,CIT73720,Water Supply,Central Zone,Documentation Issue,Medium,Pending,2023-10-31,,,Repeated complaint about our in Central Zone area still unresolved,,Walk-in,Officer_187
GRV00507,CIT56284,Health Services,West District,Delayed Response,Medium,Resolved,2022-04-07,2022-04-21,14.0,No action taken on West District complaint since West District days,5,Walk-in,Officer_193
GRV00508,CIT26577,Electricity Board,Coastal Ward,Street Light Failure,Low,Resolved,2023-10-11,2024-01-02,83.0,Repeated complaint about our in Coastal Ward area still unresolved,5,Online Portal,Officer_440
GRV00509,CIT49526,Public Transport,Industrial Area,Street Light Failure,Medium,Resolved,2022-11-29,2023-01-07,39.0,Serious issue regarding this in our locality,4,Mobile App,Officer_334
GRV00510,CIT53421,Public Transport,East District,Water Shortage,Medium,Reopened,2024-11-05,,,Irregular water supply affecting our households,,Email,Officer_441
GRV00511,CIT28274,Electricity Board,Riverside Block,Poor Service,Low,Resolved,2024-09-07,2024-09-22,15.0,Serious issue regarding 11 in our locality,4,Email,Officer_212
GRV00512,CIT79000,Education Department,Industrial Area,Power Outage,High,Resolved,2023-02-04,2023-02-25,21.0,Frequent power cuts our times daily in our ward,2,Online Portal,Officer_142
GRV00513,CIT51649,Housing Authority,Old City,Power Outage,Medium,Reopened,2024-10-01,,,No electricity for our hours continuously,,Phone,Officer_175
GRV00514,CIT50381,Environment Department,Suburban Area,Air Pollution,Low,Resolved,2023-12-08,2024-01-31,54.0,Repeated complaint about 29 in this area still unresolved,4,Phone,Officer_247
GRV00515,CIT28827,Electricity Board,Coastal Ward,Corruption,Medium,In Progress,2022-06-26,,,Urgent complaint about this affecting citizens,,Email,Officer_271
GRV00516,CIT82851,Roads & Infrastructure,Hill Station,Encroachment,Medium,Resolved,2024-04-28,2024-05-14,16.0,Repeated complaint about Hill Station in Hill Station area still unresolved,4,Walk-in,Officer_383
GRV00517,CIT39428,Education Department,North District,School Facilities,Medium,In Progress,2024-08-07,,,Serious issue regarding 27 in our locality,,Mobile App,Officer_234
GRV00518,CIT33510,Health Services,Hill Station,Delayed Response,High,Resolved,2023-08-13,2023-08-29,16.0,Repeated complaint about Hill Station in 2 area still unresolved,3,Phone,Officer_134
GRV00519,CIT92312,Police Department,Coastal Ward,Air Pollution,Medium,Pending,2023-06-13,,,Repeated complaint about 24 in 13 area still unresolved,,Walk-in,Officer_183
GRV00520,CIT31405,Police Department,North District,Street Light Failure,High,Resolved,2022-10-05,2022-10-19,14.0,Serious issue regarding our in our locality,4,Walk-in,Officer_124
GRV00521,CIT92317,Health Services,Central Zone,Documentation Issue,Low,Pending,2023-02-01,,,Urgent complaint about 26 affecting citizens,,Email,Officer_485
GRV00522,CIT99842,Electricity Board,New Township,Noise Pollution,High,Closed,2023-09-09,2023-09-20,11.0,No action taken on our complaint since New Township days,1,Mobile App,Officer_365
GRV00523,CIT38557,Health Services,Industrial Area,Delayed Response,Critical,Resolved,2022-11-30,2022-12-02,2.0,Urgent complaint about Industrial Area affecting citizens,2,Email,Officer_414
GRV00524,CIT64702,Environment Department,New Township,Water Quality,High,In Progress,2022-08-22,,,Repeated complaint about 4 in New Township area still unresolved,,Online Portal,Officer_345
GRV00525,CIT32571,Public Transport,Central Zone,Air Pollution,Medium,Resolved,2024-12-07,2025-01-02,26.0,No action taken on 2 complaint since Central Zone days,2,Mobile App,Officer_257
GRV00526,CIT20188,Electricity Board,West District,Street Light Failure,Medium,Reopened,2022-08-17,,,Serious issue regarding this in our locality,,Phone,Officer_121
GRV00527,CIT43162,Municipal Sanitation,North District,Road Damage,Medium,In Progress,2022-09-01,,,Pothole on main road causing accidents near our,,Online Portal,Officer_486
